De ref,school name,management type,constituency,total enrolment,nearest_same_management_distance,nearest_same_management_school,area
1036505,"St Matthew's Primary School, Belfast",Catholic Maintained,Belfast East,346.0,1.3,"St Malachy's Primary School, Belfast",5.0
1036565,St Kevin's Primary School,Catholic Maintained,Belfast West,566.0,0.9,"St Paul's Primary School, Belfast",2.3
1036566,"Holy Family Primary School, Belfast",Catholic Maintained,Belfast North,486.0,0.8,"St Patrick's Primary School, Belfast",1.8
1036576,"Holy Child Primary School, Belfast",Catholic Maintained,Belfast West,457.0,0.5,"St John the Baptist Primary School, Belfast",0.9
1036589,"St Teresa's Primary School, Belfast",Catholic Maintained,Belfast West,610.0,0.6,"Holy Child Primary School, Belfast",1.0
1036602,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,Belfast West,633.0,1.3,"St John the Baptist Primary School, Belfast",5.5
1036620,"St Peter's Primary School, Belfast",Catholic Maintained,Belfast West,283.0,0.2,"St Joseph's Primary School, Slate",0.2
1036621,"St Joseph's Primary School, Slate",Catholic Maintained,Belfast West,325.0,0.2,"St Peter's Primary School, Belfast",0.2
1036623,"Holy Trinity Primary School, Belfast",Catholic Maintained,Belfast West,645.0,0.7,"St Teresa's Primary School, Belfast",1.7
1036624,"St Paul's Primary School, Belfast",Catholic Maintained,Belfast West,336.0,0.8,"St Clare's Primary School, Belfast",2.1
1036630,"St Clare's Primary School, Belfast",Catholic Maintained,Belfast West,460.0,0.8,"St Paul's Primary School, Belfast",2.1
1036688,"St John the Baptist Primary School, Belfast",Catholic Maintained,Belfast West,401.0,0.5,"Holy Child Primary School, Belfast",0.9
1036697,"John Paul II Primary School, Belfast",Catholic Maintained,Belfast West,319.0,0.8,"Holy Trinity Primary School, Belfast",2.0
1036698,"St Patrick's Primary School, Belfast",Catholic Maintained,Belfast North,428.0,0.8,"Holy Family Primary School, Belfast",1.8
1046501,Bunscoil Phobal Feirste,Other Maintained,Belfast West,421.0,1.5,"Gaelscoil na Mona, Belfast",7.4
1046571,"Gaelscoil Na Bhfal, Belfast",Other Maintained,Belfast West,216.0,1.0,"Gaelscoil an Lonnain, Belfast",3.3
1046593,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,Belfast West,220.0,1.1,"Gaelscoil na Mona, Belfast",3.5
1046596,Bunscoil Bheann Mhadagain,Other Maintained,Belfast North,199.0,2.1,"Gaelscoil an Lonnain, Belfast",13.7
1046641,"Scoil an Droichid, Belfast",Other Maintained,Belfast South,191.0,2.2,"Gaelscoil an Lonnain, Belfast",15.9
1046671,"Gaelscoil na Mona, Belfast",Other Maintained,Belfast West,113.0,1.1,"Bunscoil an Tsleibhe Dhuibh, Belfast",3.5
1046672,"Gaelscoil an Lonnain, Belfast",Other Maintained,Belfast West,46.0,1.0,"Gaelscoil Na Bhfal, Belfast",3.3
1050232,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,Belfast South,218.0,1.6,"Forge Integrated Primary School, Belfast",8.3
1056483,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,Belfast North,408.0,5.0,"Harding Memorial Integrated Primary School, Belfast",77.9
1056535,"Forge Integrated Primary School, Belfast",Controlled Integrated,Belfast South,394.0,1.6,"Harding Memorial Integrated Primary School, Belfast",8.3
1066531,"Hazelwood Integrated Primary School, Newtownabbey",GMI,Belfast North,450.0,10.1,"Loughview Integrated Primary School, Belfast",317.5
1066580,"Cranmore Integrated Primary School, Belfast",GMI,Belfast South,233.0,3.6,Oakwood Integrated Primary School,39.7
1620020,"Campbell College Junior School, Belfast",Voluntary,Belfast East,203.0,0.5,"Strathearn Preparatory School, Belfast",0.9
1620022,"Fullerton House Preparatory School, Belfast",Voluntary,Belfast South,142.0,1.4,"Victoria College Prep Department, Belfast",5.9
1620023,Downey House Preparatory School,Voluntary,Belfast South,49.0,2.1,"Fullerton House Preparatory School, Belfast",14.1
1620027,Inchmarlo,Voluntary,Belfast South,110.0,0.2,"Victoria College Prep Department, Belfast",0.1
1620028,Ben Madigan Preparatory School,Voluntary,Belfast North,104.0,6.6,"Sullivan Upper Preparatory, Holywood",137.5
1620089,"Strathearn Preparatory School, Belfast",Voluntary,Belfast East,131.0,0.5,"Campbell College Junior School, Belfast",0.9
1620264,"Victoria College Prep Department, Belfast",Voluntary,Belfast South,136.0,0.2,Inchmarlo,0.1
2010380,Londonderry Model Primary School,Controlled,Foyle,281.0,1.1,"Fountain Primary School, Londonderry",3.7
2010382,Ebrington Primary School,Controlled,Foyle,480.0,1.2,Lisnagelvin Primary School,4.8
2011787,Kesh Primary School,Controlled,Fermanagh And South Tyrone,244.0,7.4,Irvinestown Primary School,170.3
2011789,"Moat Primary School, Lisnaskea",Controlled,Fermanagh And South Tyrone,135.0,6.2,Maguiresbridge Primary School,121.0
2011860,Belleek No 2 Primary School,Controlled,Fermanagh And South Tyrone,32.0,18.9,Derrygonnelly Primary School,1128.1
2011873,"Aghadrumsee Primary School, Roslea",Controlled,Fermanagh And South Tyrone,31.0,7.6,Newtownbutler Primary School,182.1
2011879,Newtownbutler Primary School,Controlled,Fermanagh And South Tyrone,30.0,7.6,"Aghadrumsee Primary School, Roslea",182.1
2011881,Florencecourt Primary School,Controlled,Fermanagh And South Tyrone,140.0,7.5,"Jones Memorial Primary School, Enniskillen",176.5
2011893,Ballinamallard Primary School,Controlled,Fermanagh And South Tyrone,153.0,4.2,"Queen Elizabeth II Primary School, Kilskeery",55.6
2011894,Brookeborough Primary School,Controlled,Fermanagh And South Tyrone,64.0,5.2,Maguiresbridge Primary School,84.3
2011899,Derrygonnelly Primary School,Controlled,Fermanagh And South Tyrone,57.0,12.6,Kesh Primary School,498.3
2012052,Culmore Primary School,Controlled,Foyle,55.0,4.0,Greenhaw Primary School,50.2
2012095,Ballougry Primary School,Controlled,Foyle,38.0,2.1,Newbuildings Primary School,14.1
2012227,Drumahoe Primary School,Controlled,Foyle,277.0,1.0,"Ashlea S, Tullyally",3.2
2012245,Eglinton Primary School,Controlled,Foyle,204.0,6.5,Culmore Primary School,132.8
2012261,Newbuildings Primary School,Controlled,Foyle,183.0,2.1,Ballougry Primary School,14.1
2012298,Ballykelly Primary School,Controlled,East Londonderry,293.0,5.0,"Drumachose Primary School, Limavady",79.6
2012344,"McClintock Primary School, Seskinore",Controlled,West Tyrone,119.0,4.4,"Denamona Primary School, Fintona",61.4
2012638,"Edwards Primary School, Castlederg",Controlled,West Tyrone,249.0,4.6,"Killen Primary School, Castlederg",66.2
2012641,"Killen Primary School, Castlederg",Controlled,West Tyrone,140.0,4.6,"Edwards Primary School, Castlederg",66.2
2012648,"Gillygooley Primary School, Omagh",Controlled,West Tyrone,19.0,5.9,"Gibson Primary School, Omagh",110.0
2012660,"Denamona Primary School, Fintona",Controlled,West Tyrone,78.0,4.4,"McClintock Primary School, Seskinore",61.4
2012669,"Queen Elizabeth II Primary School, Kilskeery",Controlled,West Tyrone,38.0,4.2,Ballinamallard Primary School,55.6
2012671,"Langfield Primary School, Drumquin",Controlled,West Tyrone,18.0,6.9,"Gillygooley Primary School, Omagh",150.9
2012691,Omagh County Primary School,Controlled,West Tyrone,376.0,0.4,"Gibson Primary School, Omagh",0.6
2012707,"Dromore Primary School, Tyrone",Controlled,West Tyrone,38.0,9.0,"Lack Primary School, Enniskillen",253.6
2012708,Strabane Primary School,Controlled,West Tyrone,272.0,4.3,"Artigarvan Primary School, Strabane",59.0
2012711,"Donemana Primary School, Strabane",Controlled,West Tyrone,101.0,7.2,"Artigarvan Primary School, Strabane",161.3
2016003,"Jones Memorial Primary School, Enniskillen",Controlled,Fermanagh And South Tyrone,136.0,2.6,Enniskillen Model Primary School,22.0
2016029,"Drumachose Primary School, Limavady",Controlled,East Londonderry,410.0,1.2,Limavady Central Primary School,4.8
2016068,"Artigarvan Primary School, Strabane",Controlled,West Tyrone,170.0,4.3,Strabane Primary School,59.0
2016071,Greenhaw Primary School,Controlled,Foyle,321.0,2.3,Londonderry Model Primary School,16.8
2016089,"Gibson Primary School, Omagh",Controlled,West Tyrone,303.0,0.4,Omagh County Primary School,0.6
2016102,Tempo Primary School,Controlled,Fermanagh And South Tyrone,84.0,7.8,Brookeborough Primary School,190.8
2016124,"Ashlea S, Tullyally",Controlled,Foyle,101.0,1.0,Drumahoe Primary School,3.2
2016127,Maguiresbridge Primary School,Controlled,Fermanagh And South Tyrone,122.0,4.1,Lisbellaw Primary School,53.5
2016151,Irvinestown Primary School,Controlled,Fermanagh And South Tyrone,173.0,6.2,Ballinamallard Primary School,120.3
2016152,Enniskillen Model Primary School,Controlled,Fermanagh And South Tyrone,426.0,2.6,"Jones Memorial Primary School, Enniskillen",22.0
2016184,"Lack Primary School, Enniskillen",Controlled,Fermanagh And South Tyrone,22.0,9.0,"Dromore Primary School, Tyrone",253.6
2016203,Lisnagelvin Primary School,Controlled,Foyle,572.0,1.2,Ebrington Primary School,4.8
2016218,Lisbellaw Primary School,Controlled,Fermanagh And South Tyrone,199.0,4.1,Maguiresbridge Primary School,53.5
2016262,Newtownstewart Model Primary School,Controlled,West Tyrone,70.0,3.2,Ardstraw Jubilee Primary School,31.4
2016372,Cumber Claudy Primary School,Controlled,East Londonderry,147.0,9.5,"Donemana Primary School, Strabane",282.2
2016395,"Gortin Primary School, Omagh",Controlled,West Tyrone,63.0,10.1,Newtownstewart Model Primary School,319.6
2016426,Limavady Central Primary School,Controlled,East Londonderry,316.0,1.2,"Drumachose Primary School, Limavady",4.8
2016564,"Fountain Primary School, Londonderry",Controlled,Foyle,77.0,1.1,Londonderry Model Primary School,3.7
2016645,"Bready Jubilee Primary School, Strabane",Controlled,West Tyrone,121.0,5.9,Newbuildings Primary School,109.4
2016656,"Drumrane Primary School, Dungiven",Controlled,East Londonderry,141.0,1.5,"Gaelscoil Neachtain, Dungiven",7.3
2016663,"Cooley Primary School, Sixmilecross",Controlled,West Tyrone,90.0,9.4,"McClintock Primary School, Seskinore",275.9
2016700,"Gaelscoil Neachtain, Dungiven",Controlled,East Londonderry,154.0,1.5,"Drumrane Primary School, Dungiven",7.3
2016701,Ardstraw Jubilee Primary School,Controlled,West Tyrone,88.0,3.2,Newtownstewart Model Primary School,31.4
2030364,Rosemount Primary School,Catholic Maintained,Foyle,375.0,0.5,"St Eugene's Primary School, Derry",0.6
2030373,Nazareth House Primary School,Catholic Maintained,Foyle,228.0,0.3,Longtower Primary School,0.4
2030381,"Holy Child Primary School, Derry",Catholic Maintained,Foyle,324.0,0.5,"St John's Primary School, Bligh's Lane",0.6
2031828,"St Patrick's Primary School, Mullanaskea",Catholic Maintained,Fermanagh And South Tyrone,175.0,3.9,"Tattygar Primary School, Lisbellaw",48.9
2031863,"Tattygar Primary School, Lisbellaw",Catholic Maintained,Fermanagh And South Tyrone,59.0,3.9,"St Patrick's Primary School, Mullanaskea",48.9
2031868,"St Tierney's Primary School, Roslea",Catholic Maintained,Fermanagh And South Tyrone,120.0,5.4,"St Macartan's Primary School, Roslea",91.6
2031869,"St Mary's Primary School, Newtownbutler",Catholic Maintained,Fermanagh And South Tyrone,176.0,4.9,"St Joseph's Primary School, Donagh",74.3
2031874,"St Patrick's Primary School, Derrygonnelly",Catholic Maintained,Fermanagh And South Tyrone,129.0,6.8,"Killyhommon Primary School, Enniskillen",143.6
2031876,"St Mary's Primary School, Brookeborough",Catholic Maintained,Fermanagh And South Tyrone,65.0,5.0,"St Mary's Primary School, Maguiresbridge",78.7
2031880,"St Ninnidh's Primary School, Derrylin",Catholic Maintained,Fermanagh And South Tyrone,143.0,5.2,"St Naile's Primary School, Kinawley",84.7
2031884,"St Mary's Primary School, Killesher",Catholic Maintained,Fermanagh And South Tyrone,86.0,4.2,"St Mary's Primary School, Mullymesker",54.9
2031887,"St John the Baptist Primary School, Roscor",Catholic Maintained,Fermanagh And South Tyrone,22.0,3.9,"St Davog's Primary School, Belleek",48.6
2031890,"St Mary's Primary School, Mullymesker",Catholic Maintained,Fermanagh And South Tyrone,136.0,4.2,"St Mary's Primary School, Killesher",54.9
2031895,"St Mary's Primary School, Maguiresbridge",Catholic Maintained,Fermanagh And South Tyrone,157.0,3.3,"St Ronan's Primary School, Lisnaskea",34.7
2031897,"Killyhommon Primary School, Enniskillen",Catholic Maintained,Fermanagh And South Tyrone,72.0,6.8,"St Patrick's Primary School, Derrygonnelly",143.6
2031898,"St Paul's Primary School, Irvinestown",Catholic Maintained,Fermanagh And South Tyrone,232.0,6.3,"Knocknagor Primary School, Trillick",125.2
2031901,"St Ronan's Primary School, Lisnaskea",Catholic Maintained,Fermanagh And South Tyrone,355.0,3.3,"St Mary's Primary School, Maguiresbridge",34.7
2032212,Glendermott Primary School,Catholic Maintained,Foyle,199.0,3.4,"Sacred Heart Primary School, Trench Road",36.7
2032263,"St Canice's Primary School, Feeny",Catholic Maintained,East Londonderry,96.0,4.5,"St Mary's Primary School, Altinure",63.5
2032278,"Broadbridge Primary School, Eglinton",Catholic Maintained,Foyle,403.0,4.5,"Faughanvale Primary School, Greysteel",62.4
2032286,"St Matthew's Primary School, Drumsurn",Catholic Maintained,East Londonderry,108.0,7.9,"St Canice Primary School, Dungiven",195.2
2032287,"Termoncanice Primary School, Limavady",Catholic Maintained,East Londonderry,502.0,6.7,"St Finlough's Primary School, Sistrakeel",142.8
2032294,"St Mary's Primary School, Altinure",Catholic Maintained,East Londonderry,124.0,4.5,"St Canice's Primary School, Feeny",63.5
2032573,"St Brigid's Primary School, Altamuskin",Catholic Maintained,West Tyrone,48.0,5.2,"Roscavey Primary School, Beragh",85.9
2032603,"Tummery Primary School, Dromore",Catholic Maintained,West Tyrone,40.0,2.1,"Knocknagor Primary School, Trillick",13.2
2032607,"St Mary's Primary School, Killyclogher",Catholic Maintained,West Tyrone,332.0,2.0,"Christ the King Primary School, Omagh",13.1
2032628,"Knocknagor Primary School, Trillick",Catholic Maintained,West Tyrone,49.0,2.1,"Tummery Primary School, Dromore",13.2
2032662,"St Brigid's Primary School, Mountfield",Catholic Maintained,West Tyrone,62.0,5.3,"St Teresa's Primary School, Loughmacrory",86.7
2032676,"St Patrick's Primary School, Gortin",Catholic Maintained,West Tyrone,84.0,5.6,"St Eugene's Primary School, Tircur",98.9
2032682,"St Eugene's Primary School, Victoria Bridge",Catholic Maintained,West Tyrone,73.0,3.7,"St Theresa's Primary School, Glebe",42.9
2032684,"St Lawrence's Primary School, Fintona",Catholic Maintained,West Tyrone,237.0,5.2,"Sacred Heart Primary School, Tattyreagh",85.4
2032685,"St Brigid's Primary School, Cranagh",Catholic Maintained,West Tyrone,25.0,9.6,"St Mary's Primary School, Altinure",289.2
2032688,"St Eugene's Primary School, Tircur",Catholic Maintained,West Tyrone,18.0,5.6,"St Patrick's Primary School, Gortin",98.9
2032694,"St Caireall's Primary School, Castlederg",Catholic Maintained,West Tyrone,133.0,7.4,"St Patrick's Primary School, Castlederg",173.1
2032700,"St Joseph's Primary School, Drumquin",Catholic Maintained,West Tyrone,144.0,7.5,"All Saint's Primary School, Tattysallagh",178.9
2032704,"St Ronan's Primary School, Recarson",Catholic Maintained,West Tyrone,117.0,2.7,"St Mary's Primary School, Killyclogher",22.1
2032705,"St Patrick's Primary School, Eskra",Catholic Maintained,West Tyrone,112.0,3.7,"Roscavey Primary School, Beragh",43.0
2032721,"Sacred Heart Primary School, Tattyreagh",Catholic Maintained,West Tyrone,82.0,5.2,"St Lawrence's Primary School, Fintona",85.4
2032723,"Roscavey Primary School, Beragh",Catholic Maintained,West Tyrone,53.0,3.7,"St Patrick's Primary School, Eskra",43.0
2032730,"St Columba's Primary School, Clady",Catholic Maintained,West Tyrone,93.0,2.7,"St Theresa's Primary School, Glebe",23.0
2032731,"St Teresa's Primary School, Loughmacrory",Catholic Maintained,West Tyrone,182.0,5.3,"St Brigid's Primary School, Mountfield",86.7
2032737,"St Colmcille's Primary School, Carrickmore",Catholic Maintained,West Tyrone,415.0,5.4,"St Teresa's Primary School, Loughmacrory",91.1
2033706,"Faughanvale Primary School, Greysteel",Catholic Maintained,East Londonderry,165.0,4.5,"Broadbridge Primary School, Eglinton",62.4
2033708,"St Aidan's Primary School, Limavady",Catholic Maintained,East Londonderry,60.0,11.9,"Termoncanice Primary School, Limavady",447.7
2036008,"St Patrick's Primary School, Newtownstewart",Catholic Maintained,West Tyrone,100.0,7.0,"St Eugene's Primary School, Victoria Bridge",153.2
2036032,"St John's Primary School, Bligh's Lane",Catholic Maintained,Foyle,415.0,0.5,"Holy Child Primary School, Derry",0.6
2036045,"St Canice Primary School, Dungiven",Catholic Maintained,East Londonderry,281.0,3.4,"St John's Primary School, Dernaflaw",37.0
2036069,"St Anne's Primary School, Londonderry",Catholic Maintained,Foyle,340.0,0.5,Rosemount Primary School,0.7
2036070,"St Joseph's Primary School, Ederney",Catholic Maintained,Fermanagh And South Tyrone,143.0,6.4,"St Paul's Primary School, Irvinestown",129.2
2036082,"St Colmcille's Primary School, Claudy",Catholic Maintained,East Londonderry,252.0,7.1,"St Mary's Primary School, Altinure",159.9
2036084,"Steelstown Primary School, Londonderry",Catholic Maintained,Foyle,474.0,0.0,"Bunscoil Cholmcille, Derry",0.0
2036085,"St Peter's & St Paul's Primary School, Dungiven",Catholic Maintained,East Londonderry,53.0,4.1,"St John's Primary School, Dernaflaw",52.7
2036090,"St Naile's Primary School, Kinawley",Catholic Maintained,Fermanagh And South Tyrone,105.0,4.3,"St Mary's Primary School, Killesher",58.2
2036094,"St Patrick's Primary School, Castlederg",Catholic Maintained,West Tyrone,308.0,7.4,"St Caireall's Primary School, Castlederg",173.1
2036095,"St Mary's Primary School, Cloughcor",Catholic Maintained,West Tyrone,140.0,6.9,St Catherine’s Primary School,147.6
2036097,"St Peter's Primary School, Plumbridge",Catholic Maintained,West Tyrone,79.0,6.1,"St Patrick's Primary School, Gortin",116.0
2036105,"St Martin's Primary School, Garrison",Catholic Maintained,Fermanagh And South Tyrone,107.0,6.2,"St John the Baptist Primary School, Roscor",121.4
2036107,"St Joseph's Primary School, Donagh",Catholic Maintained,Fermanagh And South Tyrone,69.0,4.9,"St Mary's Primary School, Newtownbutler",74.3
2036116,"St Conor's Primary School, Omagh",Catholic Maintained,West Tyrone,443.0,1.0,"Holy Family Primary School, Omagh",3.2
2036142,"St Brigid's Primary School, Carnhill",Catholic Maintained,Foyle,396.0,0.4,"St Patrick's Primary School, Pennyburn",0.5
2036143,"St Oliver Plunkett Primary School, Strathfoyle",Catholic Maintained,Foyle,166.0,2.0,"St Paul's Primary School, Slievemore",12.5
2036149,"St Finlough's Primary School, Sistrakeel",Catholic Maintained,East Londonderry,59.0,4.7,"Faughanvale Primary School, Greysteel",68.8
2036153,"St Scire's Primary School, Trillick",Catholic Maintained,West Tyrone,135.0,5.7,"Tummery Primary School, Dromore",100.9
2036181,"St Mary's Primary School, Teemore",Catholic Maintained,Fermanagh And South Tyrone,143.0,6.0,"St Ninnidh's Primary School, Derrylin",114.3
2036186,"St Dympna's Primary School, Dromore",Catholic Maintained,West Tyrone,214.0,4.0,"Tummery Primary School, Dromore",50.0
2036187,"St John's Primary School, Dernaflaw",Catholic Maintained,East Londonderry,167.0,3.4,"St Canice Primary School, Dungiven",37.0
2036213,"St Columban's Primary School, Belcoo",Catholic Maintained,Fermanagh And South Tyrone,94.0,8.6,"Killyhommon Primary School, Enniskillen",233.8
2036227,"St Paul's Primary School, Slievemore",Catholic Maintained,Foyle,218.0,0.5,"Hollybush Primary School, Culmore",0.8
2036247,"St Columba's Primary School, Newbuildings",Catholic Maintained,Foyle,41.0,4.1,Nazareth House Primary School,52.7
2036258,"St Davog's Primary School, Belleek",Catholic Maintained,Fermanagh And South Tyrone,105.0,3.9,"St John the Baptist Primary School, Roscor",48.6
2036259,"Sacred Heart Primary School, Trench Road",Catholic Maintained,Foyle,424.0,0.6,"Chapel Road Primary School, Londonderry",1.0
2036288,"Good Shepherd Primary School, Derry",Catholic Maintained,Foyle,437.0,0.4,"Chapel Road Primary School, Londonderry",0.5
2036291,"St Oliver Plunkett Primary School, Beragh",Catholic Maintained,West Tyrone,140.0,4.1,"Roscavey Primary School, Beragh",53.0
2036356,"St Mary's Primary School, Tempo",Catholic Maintained,Fermanagh And South Tyrone,146.0,7.1,"St Scire's Primary School, Trillick",157.2
2036415,"Our Lady of Lourdes Primary School, Greencastle",Catholic Maintained,West Tyrone,115.0,7.2,"St Brigid's Primary School, Mountfield",160.7
2036449,"Christ the King Primary School, Omagh",Catholic Maintained,West Tyrone,196.0,1.4,"Holy Family Primary School, Omagh",6.5
2036458,"St Mary's Primary School, Gortnaghey",Catholic Maintained,East Londonderry,76.0,3.6,"St John's Primary School, Dernaflaw",40.8
2036459,"St Theresa's Primary School, Glebe",Catholic Maintained,West Tyrone,81.0,2.7,"St Columba's Primary School, Clady",23.0
2036461,"St Therese Primary School, Lenamore",Catholic Maintained,Foyle,354.0,1.0,"St Brigid's Primary School, Carnhill",2.8
2036465,"Chapel Road Primary School, Londonderry",Catholic Maintained,Foyle,193.0,0.4,"Good Shepherd Primary School, Derry",0.5
2036472,"Holy Family Primary School, Derry",Catholic Maintained,Foyle,520.0,0.7,"St Eithne's Primary School, Londonderry",1.7
2036473,"St Eithne's Primary School, Londonderry",Catholic Maintained,Foyle,311.0,0.7,"Holy Family Primary School, Derry",1.7
2036475,Longtower Primary School,Catholic Maintained,Foyle,290.0,0.3,Nazareth House Primary School,0.4
